Ctry_Abb,Ctry_NmS,Area_SQKM,UN,ColorMap,Shape_Length,Shape_Area,administeredBy,contestedBy1,contestedBy2,contestedBy3,contestedBy4,contestedBy5,demonym,contestedRegion1,territoryTyp,recognized,inhabited,casulitiesContested,viablyContested,nameContested,contestedRegion2,autonomous,contestedRegion3
AFG,Afghanistan,584005,1,3,6439543.432,8.56833E+11,Afghanistan,Taliban,Other Islamist Millitants,None,None,None,Afghan,None,1,1,1,1,1,Ongoing War,None,0,None
ALB,Albania,34834,1,6,1249885.31,61390328903,Albania,None,None,None,None,None,Albanian,None,1,1,1,0,0,None,None,0,None
DZA,Algeria,1155544,1,3,7373761.749,1.60091E+12,Algeria,None,None,Jama'at Nasr al-Islam wal Muslimin,None,None,Algerian,Insurgency in the Maghreb,1,1,1,1,1,Ongoing Conflict,None,0,None
PAK,Pakistan,308010,1,4,4381901.327,4.29876E+11,Pakistan,Islamist Militants,None,None,None,None,Pakistani,None,1,1,1,1,0,Ongoing Military Conflict,None,0,None
IRN,Iran,1311101,1,6,7943945.922,1.85681E+12,Iran,None,None,None,None,None,Iranian,None,1,1,1,0,0,None,None,0,None
TKM,Turkmenistan,499188,1,1,5603703.279,8.33576E+11,Turkmenistan,None,None,None,None,None,Turkmen,None,1,1,1,0,0,None,None,0,None
UZB,Uzbekistan,261434,1,5,5365135.082,4.56432E+11,Uzbekistan,None,None,None,None,None,Uzbekistani,None,1,1,1,0,0,None,None,0,None
KAZ,Kazakhstan,2745683,1,8,19763259.86,6.20173E+12,Kazakhstan,None,None,None,None,None,Kazakhstani,None,1,1,1,0,0,None,None,0,None
AZE,Azerbaijan,67479,1,4,2556567.15,1.17134E+11,Azerbaijan,None,None,None,None,None,Azerbaijani,Azerbaijan,1,1,1,0,0,None,None,0,None
ARM,Armenia,29646,1,7,1678396.207,51022127588,Armenia,None,None,None,None,None,Armenian,None,1,1,1,0,0,None,None,0,None
GEO,Georgia,55729,1,5,2349551.41,1.01138E+11,Georgia,None,None,None,None,None,Georgian,None,1,1,1,0,0,None,None,0,None
RUS,Russia,10332710,1,1,137040292.3,5.57513E+13,Russia,None,None,None,None,None,Russian,None,1,1,1,0,0,None,None,0,None
KGZ,Kyrgyzstan,198981,1,7,4932198.465,3.54833E+11,Kyrgyzstan,None,None,None,None,None,Kyrgyz,None,1,1,1,0,0,None,None,0,None
TJK,Tajikistan,78292,1,6,3285589.66,1.29384E+11,Takikistan,None,None,None,None,None,Tadzhik,None,1,1,1,0,0,None,None,0,None
